화면,가로(mm),사용자 거리(mm),맞는 반폭(도)
14인치 노트북,310.0,400,21.18
14인치 노트북,310.0,500,17.22
14인치 노트북,310.0,600,14.48
14인치 노트북,310.0,700,12.49
14인치 노트북,310.0,800,10.97
14인치 노트북,310.0,1000,8.81
14인치 노트북,310.0,1300,6.8
24인치 모니터,531.0,400,33.57
24인치 모니터,531.0,500,27.97
24인치 모니터,531.0,600,23.87
24인치 모니터,531.0,700,20.77
24인치 모니터,531.0,800,18.36
24인치 모니터,531.0,1000,14.87
24인치 모니터,531.0,1300,11.54
32인치 키오스크,700.0,400,41.19
32인치 키오스크,700.0,500,34.99
32인치 키오스크,700.0,600,30.26
32인치 키오스크,700.0,700,26.57
32인치 키오스크,700.0,800,23.63
32인치 키오스크,700.0,1000,19.29
32인치 키오스크,700.0,1300,15.07
55인치 사이니지,1210.0,400,56.53
55인치 사이니지,1210.0,500,50.43
55인치 사이니지,1210.0,600,45.24
55인치 사이니지,1210.0,700,40.84
55인치 사이니지,1210.0,800,37.1
55인치 사이니지,1210.0,1000,31.17
55인치 사이니지,1210.0,1300,24.96
