렌즈,모드,조건,캘리브레이션 거리(mm),사용 거리(mm),기하,거리조절,가로 조준오차(%),세로 조준오차(%),평균(%),최악(%),끝에 붙은 표본,커서 없던 표본,거리 비율
왜곡없음,제자리,기하 끔 (고정 15°/10°),400,400,0,0,18.545,17.18,17.863,25.0,8,0,1.0006
왜곡없음,제자리,기하 끔 (고정 15°/10°),500,500,0,0,15.82,12.946,14.383,23.251,4,0,1.0007
왜곡없음,제자리,기하 끔 (고정 15°/10°),600,600,0,0,11.669,9.454,10.562,14.996,4,0,1.0008
왜곡없음,제자리,기하 끔 (고정 15°/10°),700,700,0,0,8.721,5.339,7.03,12.5,2,0,1.0009
왜곡없음,제자리,기하 끔 (고정 15°/10°),900,900,0,0,1.498,1.689,1.594,3.327,0,0,1.0011
왜곡없음,제자리,기하 끔 (고정 15°/10°),1200,1200,0,0,5.22,7.155,6.188,12.375,0,0,1.0014
왜곡없음,제자리,기하 켬 · 거리조절 끔,400,400,1,0,13.158,13.565,13.362,18.915,4,0,1.0006
왜곡없음,제자리,기하 켬 · 거리조절 끔,500,500,1,0,8.73,9.235,8.982,12.5,4,0,1.0007
왜곡없음,제자리,기하 켬 · 거리조절 끔,600,600,1,0,3.297,4.186,3.741,6.784,0,0,1.0008
왜곡없음,제자리,기하 켬 · 거리조절 끔,700,700,1,0,0.845,0.768,0.806,1.427,0,0,1.0009
왜곡없음,제자리,기하 켬 · 거리조절 끔,900,900,1,0,6.283,5.462,5.873,9.59,0,0,1.0011
왜곡없음,제자리,기하 켬 · 거리조절 끔,1200,1200,1,0,11.026,10.267,10.647,16.756,0,0,1.0014
왜곡없음,제자리,기하 켬 · 거리조절 켬,400,400,1,1,13.109,13.572,13.341,18.788,4,0,1.0006
왜곡없음,제자리,기하 켬 · 거리조절 켬,500,500,1,1,8.713,9.239,8.976,12.5,4,0,1.0007
왜곡없음,제자리,기하 켬 · 거리조절 켬,600,600,1,1,3.272,4.188,3.73,6.836,0,0,1.0008
왜곡없음,제자리,기하 켬 · 거리조절 켬,700,700,1,1,0.852,0.772,0.812,1.439,0,0,1.0009
왜곡없음,제자리,기하 켬 · 거리조절 켬,900,900,1,1,6.279,5.458,5.869,9.576,0,0,1.0011
왜곡없음,제자리,기하 켬 · 거리조절 켬,1200,1200,1,1,11.018,10.264,10.641,16.734,0,0,1.0014
왜곡없음,이동,기하 켬 · 거리조절 끔,700,400,1,0,13.164,13.565,13.364,19.344,4,0,0.5744
왜곡없음,이동,기하 켬 · 거리조절 끔,700,500,1,0,8.734,9.235,8.984,12.5,4,0,0.7162
왜곡없음,이동,기하 켬 · 거리조절 끔,700,600,1,0,3.3,4.186,3.743,6.7,0,0,0.8579
왜곡없음,이동,기하 켬 · 거리조절 끔,700,700,1,0,0.845,0.768,0.806,1.427,0,0,1.0009
왜곡없음,이동,기하 켬 · 거리조절 끔,700,900,1,0,6.288,5.463,5.876,9.56,0,0,1.2826
왜곡없음,이동,기하 켬 · 거리조절 끔,700,1200,1,0,11.036,10.269,10.653,16.885,0,0,1.7067
왜곡없음,이동,기하 켬 · 거리조절 켬,700,400,1,1,0.545,0.386,0.465,1.154,0,0,0.5744
왜곡없음,이동,기하 켬 · 거리조절 켬,700,500,1,1,0.639,0.444,0.542,1.216,0,0,0.7162
왜곡없음,이동,기하 켬 · 거리조절 켬,700,600,1,1,0.747,0.588,0.668,1.328,0,0,0.8579
왜곡없음,이동,기하 켬 · 거리조절 켬,700,700,1,1,0.852,0.772,0.812,1.439,0,0,1.0009
왜곡없음,이동,기하 켬 · 거리조절 켬,700,900,1,1,1.044,1.237,1.141,2.231,0,0,1.2826
왜곡없음,이동,기하 켬 · 거리조절 켬,700,1200,1,1,1.305,2.148,1.726,4.005,0,0,1.7067
광각 90도,제자리,기하 끔 (고정 15°/10°),400,400,0,0,18.552,17.214,17.883,25.0,8,0,1.0009
광각 90도,제자리,기하 끔 (고정 15°/10°),500,500,0,0,15.785,13.042,14.414,23.191,4,0,1.0011
광각 90도,제자리,기하 끔 (고정 15°/10°),600,600,0,0,11.625,9.562,10.594,14.93,4,0,1.0012
광각 90도,제자리,기하 끔 (고정 15°/10°),700,700,0,0,8.669,5.418,7.043,12.5,2,0,1.0014
광각 90도,제자리,기하 끔 (고정 15°/10°),900,900,0,0,1.667,2.299,1.983,3.921,0,0,1.0016
광각 90도,제자리,기하 끔 (고정 15°/10°),1200,1200,0,0,5.214,7.02,6.117,13.175,0,0,1.0019
광각 90도,제자리,기하 켬 · 거리조절 끔,400,400,1,0,13.141,13.642,13.391,19.552,4,0,1.0009
