렌즈,시드,표본,R2,t,c_추정,c_참,참값_R2,추정/참,의도세로_가로제곱_상관,R2판정,t판정,휨_보정없음,휨_참값보정,휨_추정보정,추정보정/보정없음
광각 90도,1,3600,0.00549,-3.95486,-0.38341,-0.00434,0.00611,88.42904,-0.07065,0,1,2.48291,2.48928,4.94297,1.9908
광각 90도,2,3600,0.07061,-13.91305,-1.23529,0.0117,0.02722,-105.54067,-0.23491,0,1,2.39005,2.28993,12.95626,5.42092
광각 90도,3,3600,0.00489,3.82202,0.30432,0.01059,0.00815,28.73503,0.05591,0,1,3.01754,3.00563,5.05868,1.67643
광각 90도,4,3600,0.03362,6.29747,0.48637,0.00699,0.00945,69.56302,0.11529,0,1,1.72377,1.72734,5.25127,3.04639
광각 90도,5,3600,0.07697,-12.16821,-1.03605,0.01176,0.00551,-88.06509,-0.10886,0,1,3.97663,3.96962,10.8044,2.71698
광각 90도,6,3600,0.04427,12.88764,1.19912,0.0161,0.01868,74.49302,0.20508,0,1,3.67961,3.76325,14.0982,3.83144
광각 90도,7,3600,0.00477,3.98079,0.33181,0.00556,0.00378,59.693,0.06659,0,1,2.53426,2.56581,4.55888,1.7989
광각 90도,8,3600,0.03273,-6.65888,-0.53345,0.0037,0.0007,-144.26131,-0.09564,0,1,2.55808,2.55659,6.19802,2.42291
광각 90도,9,3600,0.04038,2.52708,0.22311,0.01634,0.00604,13.6507,0.00468,0,1,2.74898,2.71581,3.40026,1.23692
광각 90도,10,3600,0.06246,6.06759,0.55757,0.01493,0.00748,37.35132,0.07966,0,1,2.45272,2.43911,5.87759,2.39636
광각 90도,11,3600,0.02075,-7.9001,-0.73857,0.00837,0.0139,-88.29214,-0.12285,0,1,2.84148,2.7929,8.89281,3.12964
광각 90도,12,3600,0.04526,12.67942,1.27112,0.00968,0.0082,131.37424,0.19222,0,1,2.73627,2.79315,13.33294,4.87266
광각 90도,13,3600,0.01884,8.14985,0.84417,0.02409,0.01369,35.04924,0.1377,0,1,2.27946,2.41504,10.01097,4.39182
광각 90도,14,3600,0.03581,-5.86299,-0.57562,0.01104,0.00306,-52.15229,-0.03921,0,1,2.88811,2.83644,6.87902,2.38184
광각 90도,15,3600,0.01283,1.73709,0.15401,0.00022,0.02928,689.27898,0.05598,0,0,2.73573,2.73448,2.75707,1.0078
광각 90도,16,3600,0.02039,4.84573,0.43418,0.01021,0.00259,42.52908,0.08908,0,1,1.71902,1.77489,5.09714,2.96514
광각 90도,17,3600,0.01651,6.74751,0.65236,0.01431,0.05185,45.59992,0.08039,0,1,3.57383,3.59853,8.71958,2.43984
광각 90도,18,3600,0.06222,2.76083,0.23557,0.00391,0.01283,60.28363,0.08323,0,1,1.99384,2.00904,2.91016,1.45957
광각 90도,19,3600,0.00525,0.63021,0.04854,0.01107,0.05235,4.38307,0.01465,0,0,2.62086,2.49191,2.46998,0.94243
광각 90도,20,3600,0.12169,-12.02123,-1.044,0.01328,0.03829,-78.60756,-0.15829,0,1,2.34456,2.36101,13.67599,5.83308
초광각 120도,1,3600,0.00539,-3.90552,-0.37766,-0.01111,0.00673,33.99019,-0.06958,0,1,3.68229,3.7019,5.23509,1.42169
초광각 120도,2,3600,0.06984,-13.76353,-1.22375,0.01339,0.0254,-91.38367,-0.23334,0,1,3.50866,3.39316,14.06343,4.0082
초광각 120도,3,3600,0.00495,3.82456,0.30388,0.01187,0.0072,25.59861,0.05542,0,1,4.45917,4.44436,5.94654,1.33355
초광각 120도,4,3600,0.03343,6.25159,0.4826,0.0061,0.00845,79.10953,0.11374,0,1,2.54891,2.55189,5.82779,2.28639
초광각 120도,5,3600,0.07691,-12.14748,-1.03311,0.01243,0.00381,-83.1153,-0.10843,0,1,5.89749,5.89177,11.7529,1.99286
초광각 120도,6,3600,0.04386,12.83248,1.19334,0.01937,0.01656,61.6146,0.20478,0,1,5.44788,5.54924,15.74612,2.89032
초광각 120도,7,3600,0.00452,3.88261,0.32307,0.00366,0.0033,88.37766,0.06605,0,1,3.76674,3.78773,5.62181,1.49249
초광각 120도,8,3600,0.03278,-6.67584,-0.53486,0.00172,0.00049,-310.141,-0.09374,0,1,3.77651,3.77593,6.37827,1.68893
초광각 120도,9,3600,0.04053,2.49444,0.22014,0.01987,0.00412,11.07868,0.00323,0,1,4.0699,4.03387,4.44589,1.09238
초광각 120도,10,3600,0.06151,6.03269,0.55406,0.01757,0.00542,31.52685,0.08063,0,1,3.62784,3.61161,6.46038,1.78078
