배치,렌즈,렌즈 보정,시드,적합 시도,판정 통과,훑기 직전 계수,휨 auto_arc 끔(%),휨 auto_arc 켬(%),켬/끔,훑기 표본 끔,훑기 표본 켬
정면,일반 65도,켬,1,28,17,-1.8663,1.7235,53.3906,30.9785,29,29
정면,일반 65도,켬,2,29,21,-1.0808,2.0707,15.0125,7.25,29,29
정면,일반 65도,켬,3,29,17,1.2936,2.0187,16.6075,8.2267,29,29
정면,일반 65도,켬,4,29,14,-0.0826,2.0187,8.8521,4.385,29,29
정면,일반 65도,켬,5,29,18,-1.2203,2.0187,14.3077,7.0876,29,29
정면,일반 65도,끔,1,28,17,-1.8663,1.7235,53.3906,30.9785,29,29
정면,일반 65도,끔,2,29,21,-1.0808,2.0707,15.0125,7.25,29,29
정면,일반 65도,끔,3,29,17,1.2936,2.0187,16.6075,8.2267,29,29
정면,일반 65도,끔,4,29,14,-0.0826,2.0187,8.8521,4.385,29,29
정면,일반 65도,끔,5,29,18,-1.2203,2.0187,14.3077,7.0876,29,29
정면,광각 90도,켬,1,29,10,-1.7599,3.3418,18.8753,5.6482,29,29
정면,광각 90도,켬,2,29,21,-1.0787,3.3418,14.6388,4.3805,29,29
정면,광각 90도,켬,3,29,17,1.2955,3.3418,18.3718,5.4975,29,29
정면,광각 90도,켬,4,29,14,-0.0775,3.3418,10.3689,3.1028,29,29
정면,광각 90도,켬,5,29,18,-1.2201,3.3418,14.211,4.2525,29,29
정면,광각 90도,끔,1,29,10,-1.7599,3.3418,18.8753,5.6482,29,29
정면,광각 90도,끔,2,29,21,-1.0787,3.3418,14.6388,4.3805,29,29
정면,광각 90도,끔,3,29,17,1.2955,3.3418,18.3718,5.4975,29,29
정면,광각 90도,끔,4,29,14,-0.0775,3.3418,10.3689,3.1028,29,29
정면,광각 90도,끔,5,29,18,-1.2201,3.3418,14.211,4.2525,29,29
정면,초광각 120도,켬,1,29,10,-1.7597,5.0056,18.595,3.7149,29,29
정면,초광각 120도,켬,2,29,21,-1.0744,5.0056,14.1686,2.8306,29,29
정면,초광각 120도,켬,3,29,17,1.2978,5.0056,20.8759,4.1706,29,29
정면,초광각 120도,켬,4,29,14,-0.0692,5.0056,12.2649,2.4503,29,29
정면,초광각 120도,켬,5,29,18,-1.2187,5.0056,14.0736,2.8116,29,29
정면,초광각 120도,끔,1,29,10,-1.7597,5.0056,18.595,3.7149,29,29
정면,초광각 120도,끔,2,29,21,-1.0744,5.0056,14.1686,2.8306,29,29
정면,초광각 120도,끔,3,29,17,1.2978,5.0056,20.8759,4.1706,29,29
정면,초광각 120도,끔,4,29,14,-0.0692,5.0056,12.2649,2.4503,29,29
정면,초광각 120도,끔,5,29,18,-1.2187,5.0056,14.0736,2.8116,29,29
오른쪽에서 25도,일반 65도,켬,1,29,10,-1.7786,2.1685,18.7931,8.6665,29,29
오른쪽에서 25도,일반 65도,켬,2,29,21,-1.1233,2.1387,14.6671,6.858,29,29
오른쪽에서 25도,일반 65도,켬,3,29,17,1.2708,2.1685,16.487,7.6031,29,29
오른쪽에서 25도,일반 65도,켬,4,29,15,-0.1931,2.1685,8.3184,3.8361,29,29
오른쪽에서 25도,일반 65도,켬,5,29,18,-1.2126,2.1685,13.2075,6.0907,29,29
