렌즈,입력,단계,시각(초),표본,가로 폭,결정계수,계수,통과,거절 이유,적용 뒤 계수
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,8.53,211,0.4996,0.6468,1.3939,1,-,0.4182
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,12.53,331,0.4996,0.1046,0.715,0,결정계수 미달,0.4182
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,16.53,451,0.5756,0.1189,-1.3886,0,결정계수 미달,0.4182
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,20.53,451,0.5756,0.2471,-1.3866,1,-,-0.1233
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,24.53,466,0.5792,0.1515,-1.407,1,-,-0.5084
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,28.53,466,0.5792,0.2268,-1.9974,1,-,-0.9551
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,32.53,445,0.5531,0.1298,-0.7927,0,결정계수 미달,-0.9551
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,36.53,445,0.5531,0.2275,-1.649,1,-,-1.1633
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,40.53,430,0.5993,0.1288,-1.3869,0,결정계수 미달,-1.1633
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,44.53,430,0.5993,0.1234,-1.3344,0,결정계수 미달,-1.1633
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,48.53,410,0.5978,0.3558,-2.292,1,-,-1.4143
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,52.53,410,0.5978,0.1808,-1.3668,1,-,-1.4
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,56.53,439,0.5864,0.2639,-2.2925,1,-,-1.58
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,60.53,439,0.5864,0.3026,-2.3259,1,-,-1.706
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,64.53,473,0.5872,0.2258,-1.5274,1,-,-1.6524
일반 65도,① 렌즈 비교 측정 그대로,예열 70초,68.53,473,0.5872,0.221,-1.9696,1,-,-1.7476
일반 65도,① 렌즈 비교 측정 그대로,좌우 ±14° 훑기,72.53,473,0.5605,0.1599,-1.3431,1,-,-1.6262
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,8.53,240,0.1181,nan,nan,0,가로 폭 부족,0.0
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,12.53,360,0.2259,0.1152,-9.8458,0,결정계수 미달,0.0
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,16.53,480,0.3927,0.0088,0.6139,0,결정계수 미달,0.0
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,20.53,480,0.3927,0.0864,1.8244,0,결정계수 미달,0.0
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,24.53,480,0.4322,0.0225,-0.3846,0,결정계수 미달,0.0
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,28.53,480,0.4322,0.208,-0.5532,1,-,-0.166
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,32.53,480,0.3853,0.0123,-0.4485,0,결정계수 미달,-0.166
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,36.53,480,0.3853,0.0315,1.5333,0,결정계수 미달,-0.166
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,40.53,480,0.3538,0.056,2.6969,0,결정계수 미달,-0.166
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,44.53,480,0.3316,0.0661,0.0037,0,결정계수 미달,-0.166
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,48.53,480,0.3207,0.2856,-4.8605,1,-,-0.7162
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,52.53,480,0.3712,0.0695,2.1693,0,결정계수 미달,-0.7162
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,56.53,480,0.4165,0.1052,0.5908,0,결정계수 미달,-0.7162
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,60.53,480,0.4165,0.1474,0.4743,0,결정계수 미달,-0.7162
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,64.53,480,0.4165,0.1914,-0.5761,1,-,-0.6742
일반 65도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,68.53,480,0.3493,0.0626,-1.5136,0,결정계수 미달,-0.6742
