기법,설정,몸평행이동 끌림(%),가로 선형성 이탈(%),세로 휨(%),정지 떨림(%),커서 이동폭(%)
① 상대 회전 매핑 (Kabsch 정합),2차원 투영점 (예전),9.5931,4.3924,7.3373,1.8645,46.231
① 상대 회전 매핑 (Kabsch 정합),상대 회전 (현재),4.2217,1.4723,3.3418,0.6954,90.119
② 얼굴 기준 좌표계 (2차원 경로 안에서),화면 절대좌표,50.7937,1.6682,2.2818,0.6131,18.524
② 얼굴 기준 좌표계 (2차원 경로 안에서),얼굴 기준 좌표계,9.5931,4.3924,7.3373,1.8645,46.231
③ 곡률 보정 (2차원 경로 전용 — 상대 회전에서는 무시됨),보정 없음 (0.0),9.5931,4.3924,7.3373,1.8645,46.231
③ 곡률 보정 (2차원 경로 전용 — 상대 회전에서는 무시됨),보정 적용 (-0.8936),9.8365,4.3924,8.8654,1.8645,46.231
④ 거리 비례 반폭 (600mm에서 잡고 1300mm로 물러남),끔,2.8291,2.5405,4.7317,1.6041,42.322
④ 거리 비례 반폭 (600mm에서 잡고 1300mm로 물러남),켬,6.0964,5.4986,10.1812,3.4615,91.222
⑤ 화면 기하 기반 반폭,고정 15도,4.2217,1.4723,3.3418,0.6954,90.119
⑤ 화면 기하 기반 반폭,화면 치수 (531x299mm / 700mm),3.4855,1.0401,2.7591,0.4913,63.665
⑥ 도달 배율 (목이 7도만 돌아가는 사용자용),1.0 (손대지 않음),4.2217,1.1814,2.1754,0.6954,45.454
⑥ 도달 배율 (목이 7도만 돌아가는 사용자용),2.18 (7도 사용자),9.1578,2.5754,4.7424,1.6253,99.09
⑦ 카메라 배치 (광각 90도),정면,4.2217,1.4723,3.3418,0.6954,90.119
⑦ 카메라 배치 (광각 90도),오른쪽에서 25도,6.5198,1.5339,3.3251,0.674,87.536
⑦ 카메라 배치 (광각 90도),심하게 비스듬히,8.2515,1.5888,3.1254,0.6756,88.924
⑧ 렌즈 화각 (정면 배치),왜곡없음,4.733,0.888,2.0177,0.4265,90.195
⑧ 렌즈 화각 (정면 배치),일반 65도,4.7493,0.8882,2.0187,0.4265,90.198
⑧ 렌즈 화각 (정면 배치),광각 90도,4.2217,1.4723,3.3418,0.6954,90.119
⑧ 렌즈 화각 (정면 배치),초광각 120도,4.3797,2.2047,5.0056,1.1072,90.026
⑨ 랜드마크 잡음 (어두운 곳),0.35px (기본),4.2217,1.4723,3.3418,0.6954,90.119
⑨ 랜드마크 잡음 (어두운 곳),0.70px,4.5155,2.9873,6.7828,1.4946,90.966
⑨ 랜드마크 잡음 (어두운 곳),1.40px (어두움),5.7181,6.0183,13.7324,3.0034,96.026
⑩ 렌즈 자가 보정,일반 65도 / 보정 끔,6.3707,1.0457,2.1685,0.4138,87.647
⑩ 렌즈 자가 보정,일반 65도 / 보정 켬,0.9379,0.8416,5.8705,0.4149,87.346
⑩ 렌즈 자가 보정,광각 90도 / 보정 끔,6.5198,1.5339,3.3251,0.674,87.536
⑩ 렌즈 자가 보정,광각 90도 / 보정 켬,1.5311,1.3627,6.7783,0.6757,87.269
⑩ 렌즈 자가 보정,초광각 120도 / 보정 끔,6.8092,2.1463,4.7786,1.0722,87.401
⑩ 렌즈 자가 보정,초광각 120도 / 보정 켬,2.1665,2.016,4.6289,1.0702,87.185
