기법,설정,커서 이동폭(%),끌림/이동폭,선형성/이동폭,휨/이동폭,떨림/이동폭
① 상대 회전 매핑 (Kabsch 정합),2차원 투영점 (예전),46.231,0.2075,0.09501,0.15871,0.04033
① 상대 회전 매핑 (Kabsch 정합),상대 회전 (현재),90.119,0.04685,0.01634,0.03708,0.00772
② 얼굴 기준 좌표계 (2차원 경로 안에서),화면 절대좌표,18.524,2.74205,0.09006,0.12318,0.0331
② 얼굴 기준 좌표계 (2차원 경로 안에서),얼굴 기준 좌표계,46.231,0.2075,0.09501,0.15871,0.04033
③ 곡률 보정 (2차원 경로 전용 — 상대 회전에서는 무시됨),보정 없음 (0.0),46.231,0.2075,0.09501,0.15871,0.04033
③ 곡률 보정 (2차원 경로 전용 — 상대 회전에서는 무시됨),보정 적용 (-0.8936),46.231,0.21277,0.09501,0.19176,0.04033
④ 거리 비례 반폭 (600mm에서 잡고 1300mm로 물러남),끔,42.322,0.06685,0.06003,0.1118,0.0379
④ 거리 비례 반폭 (600mm에서 잡고 1300mm로 물러남),켬,91.222,0.06683,0.06028,0.11161,0.03795
⑤ 화면 기하 기반 반폭,고정 15도,90.119,0.04685,0.01634,0.03708,0.00772
⑤ 화면 기하 기반 반폭,화면 치수 (531x299mm / 700mm),63.665,0.05475,0.01634,0.04334,0.00772
⑥ 도달 배율 (목이 7도만 돌아가는 사용자용),1.0 (손대지 않음),45.454,0.09288,0.02599,0.04786,0.0153
⑥ 도달 배율 (목이 7도만 돌아가는 사용자용),2.18 (7도 사용자),99.09,0.09242,0.02599,0.04786,0.0164
⑦ 카메라 배치 (광각 90도),정면,90.119,0.04685,0.01634,0.03708,0.00772
⑦ 카메라 배치 (광각 90도),오른쪽에서 25도,87.536,0.07448,0.01752,0.03799,0.0077
⑦ 카메라 배치 (광각 90도),심하게 비스듬히,88.924,0.09279,0.01787,0.03515,0.0076
⑧ 렌즈 화각 (정면 배치),왜곡없음,90.195,0.05248,0.00985,0.02237,0.00473
⑧ 렌즈 화각 (정면 배치),일반 65도,90.198,0.05265,0.00985,0.02238,0.00473
⑧ 렌즈 화각 (정면 배치),광각 90도,90.119,0.04685,0.01634,0.03708,0.00772
⑧ 렌즈 화각 (정면 배치),초광각 120도,90.026,0.04865,0.02449,0.0556,0.0123
⑨ 랜드마크 잡음 (어두운 곳),0.35px (기본),90.119,0.04685,0.01634,0.03708,0.00772
⑨ 랜드마크 잡음 (어두운 곳),0.70px,90.966,0.04964,0.03284,0.07456,0.01643
⑨ 랜드마크 잡음 (어두운 곳),1.40px (어두움),96.026,0.05955,0.06267,0.14301,0.03128
