파이썬,numpy,OpenCV,얼굴,호출 순서,뷰 수,벽시계(초),스레드 CPU(초),초점거리(px),k1,재투영오차(px),최종,거부 사유
3.11.5,2.2.6,5.0.0,정규 모형,1,120,0.428,0.281,457.7,-0.1369,0.4537,채택,
3.11.5,2.2.6,5.0.0,정규 모형,2,60,0.355,0.266,432.0,-0.1479,0.4443,채택,
3.11.5,2.2.6,5.0.0,정규 모형,3,60,0.222,0.203,476.6,-0.1315,0.4626,채택,
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,1,120,5.219,3.781,7996524.8,4440969.1461,0.8903,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,2,120,5.225,3.797,28308345.6,-2437982.1388,0.8972,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,3,120,6.369,4.688,10133440.9,-18108360.058,0.9125,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,4,120,4.51,3.219,2462784.2,-3583496.9001,0.9203,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,5,120,4.736,3.438,770123.2,-825295.8694,0.8986,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 좁은 얼굴,6,120,5.584,3.969,2450085.7,-4444875.5127,0.8859,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,1,120,0.392,0.297,354.4,-0.1365,0.7863,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,2,60,0.363,0.266,323.7,-0.1604,0.7712,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,3,60,0.27,0.25,364.9,-0.0922,0.7959,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,4,120,0.478,0.438,361.1,-0.1303,0.7808,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,5,60,0.391,0.266,302.2,-0.1592,0.7657,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,6,60,0.22,0.188,384.0,-0.0487,0.7902,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,7,120,0.557,0.453,363.3,-0.1188,0.7885,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,8,60,0.29,0.219,330.8,-0.1387,0.7842,채택,
3.11.5,2.2.6,5.0.0,눈 넓은 얼굴,9,60,0.215,0.203,362.5,0.0935,0.7885,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,1,120,0.266,0.203,843.1,-0.5832,0.5695,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,2,60,0.191,0.188,598.5,-0.4909,0.6039,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,3,60,0.195,0.172,789.0,-0.0941,0.4921,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,4,120,0.333,0.281,786.1,-0.4984,0.5637,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,5,60,0.279,0.219,546.2,-0.3798,0.5939,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,6,60,0.165,0.109,803.0,-0.0659,0.5197,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,7,120,0.329,0.281,705.9,-0.3209,0.5461,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,8,60,0.176,0.172,692.3,-0.3127,0.5459,채택,
3.11.5,2.2.6,5.0.0,코 낮은 얼굴,9,60,0.216,0.172,740.1,-0.5736,0.5459,채택,
3.11.5,2.2.6,5.0.0,코 높은 얼굴,1,120,0.337,0.25,365.0,-0.1031,0.4835,채택,
3.11.5,2.2.6,5.0.0,코 높은 얼굴,2,60,0.417,0.344,378.6,-0.0724,0.4901,채택,
3.11.5,2.2.6,5.0.0,코 높은 얼굴,3,60,0.268,0.219,381.6,-0.1445,0.4663,채택,
3.11.5,2.2.6,5.0.0,갸름한 얼굴,1,120,0.639,0.547,237.1,-0.2336,1.4179,채택,
3.11.5,2.2.6,5.0.0,갸름한 얼굴,2,60,0.383,0.297,233.6,-0.2142,1.4095,채택,
3.11.5,2.2.6,5.0.0,갸름한 얼굴,3,60,0.652,0.578,221.9,-0.2617,1.3234,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,1,120,0.637,0.469,543.2,0.4666,1.1254,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,2,60,0.77,0.609,1421.8,4.216,1.1758,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,3,60,0.586,0.469,348.3,0.1054,1.0184,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,4,120,0.506,0.422,428.0,0.1939,1.1142,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,5,60,0.456,0.375,844.8,1.5533,1.156,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,6,60,0.436,0.359,320.7,0.1217,1.0289,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,7,120,1.002,0.75,351.1,0.0585,1.0988,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,8,60,0.69,0.531,368.7,0.0702,1.054,채택,
3.11.5,2.2.6,5.0.0,넓은 얼굴,9,60,0.362,0.328,389.5,1.4241,1.0992,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),1,120,0.381,0.297,462.5,-0.1349,0.4517,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),2,60,0.498,0.391,431.6,-0.1485,0.4443,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),3,60,0.234,0.188,483.7,-0.1258,0.4588,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),4,120,0.597,0.484,465.1,-0.136,0.4518,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),5,60,0.428,0.312,444.5,-0.1416,0.4469,채택,
3.11.5,2.2.6,5.0.0,작은 얼굴(어린이),6,60,0.225,0.203,487.3,-0.1589,0.4563,채택,
3.11.5,2.2.6,5.0.0,큰 얼굴,1,120,0.247,0.219,443.2,-0.1409,0.4505,채택,
3.11.5,2.2.6,5.0.0,큰 얼굴,2,60,0.294,0.234,432.2,-0.1474,0.4443,채택,
3.11.5,2.2.6,5.0.0,큰 얼굴,3,60,0.179,0.141,448.5,-0.1352,0.4565,채택,
3.11.5,2.2.6,5.0.0,겹친 최악,1,120,0.596,0.422,238.7,-0.1892,1.6138,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,2,60,1.05,0.719,372.1,-0.2404,1.6751,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,3,60,0.534,0.359,216.9,-0.1574,1.4934,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,4,120,0.418,0.312,226.9,-0.18,1.5858,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,5,60,0.858,0.641,327.5,-0.1952,1.6703,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,6,60,0.824,0.641,206.0,-0.1647,1.4728,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,7,120,0.426,0.312,212.9,-0.1666,1.5344,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,8,120,0.439,0.391,202.8,-0.1561,1.4952,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,9,120,0.329,0.266,212.8,-0.1423,1.5303,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,10,120,0.574,0.469,257.0,0.0434,1.5845,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,11,60,0.544,0.391,188.3,-0.208,1.4771,거부,시도 횟수 소진
3.11.5,2.2.6,5.0.0,겹친 최악,12,60,0.546,0.391,417.6,0.5505,1.6449,거부,시도 횟수 소진
