조건,설정,몸평행이동 끌림(%),가로 선형성 이탈(%),세로 휨(%),정지 떨림(%),커서 이동폭(%)
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),일반 65도 / 보정 끔,6.3707,1.0457,17.8536,0.4138,87.647
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),일반 65도 / 보정 켬,0.9379,0.8416,5.8705,0.4149,87.346
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),광각 90도 / 보정 끔,6.5198,1.5339,17.4548,0.674,87.536
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),광각 90도 / 보정 켬,1.5311,1.3627,6.7783,0.6757,87.269
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),초광각 120도 / 보정 끔,6.8617,2.1463,16.6443,1.0722,87.401
⑩ 렌즈 자가 보정 (auto_arc 켬 — 배포 기본),초광각 120도 / 보정 켬,2.1665,2.016,4.6289,1.0702,87.185
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),일반 65도 / 보정 끔,6.3707,1.0457,2.1685,0.4138,87.647
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),일반 65도 / 보정 켬,0.9379,0.8416,1.8405,0.4149,87.346
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),광각 90도 / 보정 끔,6.5198,1.5339,3.3251,0.674,87.536
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),광각 90도 / 보정 켬,1.5311,1.3627,3.0012,0.6757,87.269
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),초광각 120도 / 보정 끔,6.8092,2.1463,4.7786,1.0722,87.401
⑪ 렌즈 자가 보정 (auto_arc 끔 — 기여 분리),초광각 120도 / 보정 켬,2.1682,2.016,4.4691,1.0702,87.185
