얼굴,참 거리(mm),추정 거리(mm),오차(%)
정규 모형,400.0,402.0,0.51
정규 모형,600.0,600.0,0.0
정규 모형,800.0,797.8,-0.28
정규 모형,1000.0,995.4,-0.46
정규 모형,1200.0,1192.6,-0.62
눈 좁은 얼굴,400.0,402.0,0.51
눈 좁은 얼굴,600.0,600.0,-0.0
눈 좁은 얼굴,800.0,797.8,-0.28
눈 좁은 얼굴,1000.0,995.3,-0.47
눈 좁은 얼굴,1200.0,1192.6,-0.62
눈 넓은 얼굴,400.0,402.0,0.51
눈 넓은 얼굴,600.0,600.0,-0.0
눈 넓은 얼굴,800.0,797.8,-0.27
눈 넓은 얼굴,1000.0,995.4,-0.46
눈 넓은 얼굴,1200.0,1192.6,-0.61
코 낮은 얼굴,400.0,402.3,0.57
코 낮은 얼굴,600.0,600.0,0.0
코 낮은 얼굴,800.0,797.5,-0.31
코 낮은 얼굴,1000.0,994.7,-0.53
코 낮은 얼굴,1200.0,1191.5,-0.7
코 높은 얼굴,400.0,401.9,0.47
코 높은 얼굴,600.0,600.0,0.0
코 높은 얼굴,800.0,798.0,-0.26
코 높은 얼굴,1000.0,995.7,-0.43
코 높은 얼굴,1200.0,1193.2,-0.57
갸름한 얼굴,400.0,401.6,0.41
갸름한 얼굴,600.0,600.0,0.0
갸름한 얼굴,800.0,798.3,-0.22
갸름한 얼굴,1000.0,996.3,-0.37
갸름한 얼굴,1200.0,1194.2,-0.49
