잔여 벌림,고치기 전 성공,고치기 전 이름표,고친 뒤 성공,고친 뒤 이름표
0.05,1,press+click,1,press+click
0.055,1,press+click,1,press+click
0.06,1,press+click,1,press+click
0.065,1,press+click,1,press+click
0.07,1,press+click,1,press+click
0.075,1,press+click,1,press+click
0.08,1,press+click,1,press+click
0.085,1,press+click,1,press+click
0.09,1,press+click,1,press+click
0.095,1,press+click,1,press+click
0.1,1,press+click,1,press+click
0.105,0,press+hold_start,1,press+click
0.11,0,press+hold_start,1,press+click
0.115,0,press+hold_start,1,press+click
0.12,0,press+hold_start,1,press+click
0.125,0,press+hold_start,1,press+click
0.13,0,press+hold_start,1,press+click
0.135,0,press+hold_start,1,press+click
0.14,0,press+hold_start,1,press+click
0.145,0,press+hold_start,1,press+click
0.15,0,press+hold_start,1,press+click
0.155,0,press+hold_start,1,press+click
0.16,0,press+hold_start,1,press+click
0.165,0,press+hold_start,1,press+click
