바꾼 것,값,바꾼 값(초),벌리는 시간(초),다무는 시간(초),판정,이름표
A 다무는 시간,1프레임(계단),0.0333,0.12,0.0333,클릭,press+click
A 다무는 시간,0.15초,0.15,0.12,0.15,클릭,press+click
A 다무는 시간,0.30초,0.3,0.12,0.3,클릭,press+click
A 다무는 시간,0.50초,0.5,0.12,0.5,클릭,press+click
A 다무는 시간,0.70초,0.7,0.12,0.7,드래그,press+hold_start+hold_end
A 다무는 시간,1.00초,1.0,0.12,1.0,드래그,press+hold_start+hold_end
B 벌리는 시간,1프레임(계단),0.0333,0.0333,0.15,클릭,press+click
B 벌리는 시간,0.12초,0.12,0.12,0.15,클릭,press+click
B 벌리는 시간,0.30초,0.3,0.3,0.15,클릭,press+click
B 벌리는 시간,0.50초,0.5,0.5,0.15,클릭,press+click
