설정,클릭 중 고개를 더 돌린 각도(도),겨눈 곳에서 벗어난 거리(px),눌린 채 끌린 거리(px),클릭 판정,이름표
되짚기 0초,0.0,11.9,0.0,1,press+click
되짚기 0초,2.0,16.0,0.0,1,press+click
되짚기 0초,4.0,20.6,0.0,1,press+click
되짚기 0초,6.0,25.5,0.0,1,press+click
되짚기 0.04초,0.0,0.0,11.9,1,press+click
되짚기 0.04초,2.0,0.0,16.0,1,press+click
되짚기 0.04초,4.0,0.0,20.6,1,press+click
되짚기 0.04초,6.0,0.0,25.5,1,press+click
되짚기 0.08초,0.0,14.2,23.3,1,press+click
되짚기 0.08초,2.0,14.2,28.3,1,press+click
되짚기 0.08초,4.0,14.2,33.4,1,press+click
되짚기 0.08초,6.0,14.2,38.5,1,press+click
붙잡기 끔,0.0,25.1,62.9,1,press+click
붙잡기 끔,2.0,103.9,108.3,1,press+click
붙잡기 끔,4.0,183.6,172.0,1,press+click
붙잡기 끔,6.0,264.0,242.5,1,press+click
