혼합비 r,회전이득(1/도),곡률 휨(신호폭),정지떨림(표준편차),몸평행이동 끌림
0.05,0.000428,0.001511,0.0005,0.002938
0.1,0.000856,0.003022,0.001,0.005877
0.15,0.001285,0.004534,0.001499,0.008815
0.2,0.001713,0.006045,0.001999,0.011754
0.25,0.002141,0.007556,0.002499,0.014692
0.3,0.002569,0.009067,0.002999,0.01763
0.35,0.002997,0.010578,0.003499,0.020569
0.4,0.003426,0.012089,0.003999,0.023507
0.45,0.003854,0.013601,0.004498,0.026446
0.5,0.004282,0.015112,0.004998,0.029384
0.55,0.00471,0.016623,0.005498,0.032322
0.6,0.005138,0.018134,0.005998,0.035261
0.65,0.005567,0.019645,0.006498,0.038199
0.7,0.005995,0.021157,0.006998,0.041138
0.75,0.006423,0.022668,0.007497,0.044076
0.8,0.006851,0.024179,0.007997,0.047014
0.85,0.007279,0.02569,0.008497,0.049953
0.9,0.007707,0.027201,0.008997,0.052891
0.95,0.008136,0.028712,0.009497,0.05583
1.0,0.008564,0.030224,0.009997,0.058768
