배치,가로(mm),세로(mm),사용자 거리(mm),가로 반폭(도),세로 반폭(도)
16:9 가로 (데스크탑),708.4,398.5,400,41.53,26.48
16:9 가로 (데스크탑),708.4,398.5,500,35.31,21.73
16:9 가로 (데스크탑),708.4,398.5,600,30.56,18.37
16:9 가로 (데스크탑),708.4,398.5,700,26.84,15.89
16:9 가로 (데스크탑),708.4,398.5,800,23.88,13.99
16:9 가로 (데스크탑),708.4,398.5,900,21.48,12.48
16:9 가로 (데스크탑),708.4,398.5,1000,19.5,11.27
16:9 가로 (데스크탑),708.4,398.5,1100,17.85,10.27
16:9 가로 (데스크탑),708.4,398.5,1200,16.45,9.43
16:9 가로 (데스크탑),708.4,398.5,1300,15.24,8.71
9:16 세로 (키오스크),398.5,708.4,400,26.48,41.53
9:16 세로 (키오스크),398.5,708.4,500,21.73,35.31
9:16 세로 (키오스크),398.5,708.4,600,18.37,30.56
9:16 세로 (키오스크),398.5,708.4,700,15.89,26.84
9:16 세로 (키오스크),398.5,708.4,800,13.99,23.88
9:16 세로 (키오스크),398.5,708.4,900,12.48,21.48
9:16 세로 (키오스크),398.5,708.4,1000,11.27,19.5
9:16 세로 (키오스크),398.5,708.4,1100,10.27,17.85
9:16 세로 (키오스크),398.5,708.4,1200,9.43,16.45
9:16 세로 (키오스크),398.5,708.4,1300,8.71,15.24
